"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.089650916,1.551335119,1.859584846,2.054785902,2.284574367,2.819078317
"2","rho",1.060230801,0.94078007,1.022325561,1.061977062,1.100246125,1.168187452
"3","sigma",0.080384148,0.071315417,0.076855354,0.08013726,0.08356359,0.091182429
"4","mu[1]",2.222676175,-0.239617454,1.467037189,2.246433875,2.995362587,4.500936331
"5","mu[2]",-2.829759921,-4.721399204,-3.667367245,-2.892130895,-2.126563434,-0.388261229
"6","mu[3]",-0.262854841,-2.557877705,-1.049666066,-0.276260853,0.515549987,2.170130241
"7","mu[4]",-1.911519781,-4.020087657,-2.715604944,-1.930242193,-1.165667093,0.471334071
"8","mu[5]",2.868295598,0.272489466,2.036493562,2.902545131,3.717217246,5.307376879
