"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.842385192,2.498725813,3.289628881,3.790014515,4.335121685,5.456421256
"2","rho",1.549396417,0.935433261,1.354742104,1.553487897,1.76315754,2.132131925
"3","sigma",3.111938946,2.864420776,3.019456672,3.1052977,3.199212161,3.377625359
"4","mu[1]",-2.996341536,-4.922348891,-4.245411441,-3.426135517,-2.160307011,1.225106645
"5","mu[2]",2.848711618,-1.94154899,1.158025412,2.845904271,4.479132385,7.947883074
"6","mu[3]",-0.898741868,-4.607435887,-2.649440665,-1.134431245,0.555225704,4.265319226
"7","mu[4]",-0.710915648,-4.594796764,-2.423489913,-0.820735166,0.76048882,4.162567737
"8","mu[5]",-0.582339556,-4.497606654,-2.33127579,-0.82710854,0.906979587,4.700869076
