"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.978421247,1.9330805,2.680832287,3.021476209,3.32591878,3.764745157
"2","rho",-2.163598248,-2.954094841,-2.530157403,-2.212239274,-1.863360498,-1.100089485
"3","sigma",2.081209294,0.413533235,1.714725759,2.168742999,2.554125063,3.151918373
"4","mu[1]",3.340197074,2.28876696,2.977236388,3.345884387,3.705864707,4.41864061
"5","mu[2]",8.757014357,7.710429884,8.42376301,8.76115544,9.107437765,9.749986035
"6","mu[3]",4.21775407,3.1779811,3.870503913,4.215987481,4.56046369,5.259614418
"7","mu[4]",-4.071520058,-4.909044161,-4.438378089,-4.114602279,-3.748873727,-3.005279143
"8","mu[5]",5.944602143,4.818770773,5.572443302,5.95040291,6.33185348,7.041557793
