"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.530813261,1.499266368,1.985402151,2.338144706,2.890487691,4.447096611
"2","rho",0.61002889,-0.955541131,-0.107425787,0.478988688,1.35458769,2.42329036
"3","sigma",3.256452626,2.891804163,3.143364452,3.262591368,3.375702114,3.589424361
"4","mu[1]",3.559066552,-0.202944529,2.761911448,3.636297257,4.451811865,6.778968364
"5","mu[2]",-0.035090582,-3.064213884,-0.992354932,-0.168565092,0.760030541,3.741224846
"6","mu[3]",-1.433068445,-4.369087127,-2.325586977,-1.465251768,-0.641914771,1.914740018
"7","mu[4]",-3.608491188,-4.956559615,-4.524212706,-3.97878193,-3.141887622,-0.060577805
"8","mu[5]",1.771619384,-2.243129696,0.964435725,1.93587194,2.808028652,4.668308037
