"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.006682766,1.853112064,2.528648896,2.95394728,3.434832097,4.433744851
"2","rho",2.465869094,2.187172465,2.38062555,2.470636499,2.556463658,2.708000524
"3","sigma",0.102391021,0.097907313,0.100754425,0.102352437,0.103920589,0.107166207
"4","mu[1]",1.603121094,-2.598370072,0.072004865,1.525448527,3.048501634,6.110246045
"5","mu[2]",-1.553552347,-4.615142879,-2.970939705,-1.712667477,-0.369124068,2.69163003
"6","mu[3]",0.807977939,-3.468616783,-0.635815364,0.822111493,2.213057763,5.105423309
"7","mu[4]",-0.20197862,-4.01694977,-1.633918151,-0.270632806,1.188474817,3.980005529
"8","mu[5]",0.101347788,-3.925454317,-1.330695361,0.039150637,1.395931303,4.430321944
