"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.560735491,1.772041972,2.960893962,3.548229641,4.155498503,5.330688426
"2","rho",2.617017548,1.520048681,2.302725116,2.632286327,2.970486169,3.636513497
"3","sigma",2.79657652,2.523776955,2.688358832,2.789990785,2.895589953,3.108998585
"4","mu[1]",-1.920299684,-4.802509089,-3.628336862,-2.37224887,-0.617409388,3.252589736
"5","mu[2]",-1.931158794,-4.840084988,-3.615300931,-2.319559092,-0.651885006,3.094740126
"6","mu[3]",-2.306787474,-4.920515266,-4.009843039,-2.790599855,-1.107839177,3.040281091
"7","mu[4]",-2.480877473,-4.910628968,-4.053987515,-2.956053246,-1.339924136,2.441865939
"8","mu[5]",-2.624852303,-4.920895404,-4.162329938,-3.0841057,-1.582599167,2.20430545
