"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.833966802,2.405963345,3.276449048,3.815438697,4.352802095,5.449391749
"2","rho",2.043940632,1.430373254,1.83370399,2.031584823,2.248546078,2.729374528
"3","sigma",2.965661358,2.710165841,2.866395438,2.958922525,3.059127276,3.265050412
"4","mu[1]",-2.846979036,-4.948476049,-4.240499257,-3.260097076,-1.909643623,1.732095692
"5","mu[2]",1.804666278,-2.88937363,0.016931137,1.747993742,3.450976822,7.152005198
"6","mu[3]",0.709616946,-3.825084767,-1.085627066,0.66197429,2.385894971,5.784255462
"7","mu[4]",3.171435295,-2.248071136,1.205069666,3.163453452,5.087723664,8.615961818
"8","mu[5]",4.33789762,-1.45080901,2.581980507,4.465733842,6.217449719,9.647520096
