"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.605314881,1.948343881,2.951262846,3.587342026,4.207537701,5.44140223
"2","rho",2.315100294,1.47576907,1.988093602,2.301843937,2.632193173,3.197634517
"3","sigma",2.8193025,2.604314155,2.741871708,2.816928726,2.894517171,3.045032505
"4","mu[1]",-2.301826477,-4.883084212,-3.896502307,-2.698298991,-1.152387561,2.528300132
"5","mu[2]",-2.474666718,-4.901956491,-4.011533609,-2.880163819,-1.418159026,2.106059834
"6","mu[3]",-2.279142401,-4.888841438,-3.900011313,-2.735069191,-1.073795232,2.541024145
"7","mu[4]",-2.711027896,-4.923498262,-4.164254641,-3.191889877,-1.657728648,2.017172399
"8","mu[5]",-2.797042306,-4.93866364,-4.225852693,-3.232720349,-1.832421735,1.769228419
