"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.453151465,2.670536303,3.195389623,3.453294219,3.709024782,4.237468112
"2","rho",-1.5604823,-2.100728606,-1.721507923,-1.551720739,-1.384342289,-1.099295598
"3","sigma",3.972930494,3.448134488,3.787232231,3.977532466,4.152957565,4.497426612
"4","mu[1]",0.272550173,-1.347439663,-0.267289394,0.287086911,0.831240268,1.799632121
"5","mu[2]",-2.029335012,-3.64270024,-2.551824076,-2.018864742,-1.532867723,-0.490095802
"6","mu[3]",1.610367103,-0.081536593,1.023509602,1.615113438,2.176502672,3.298908468
"7","mu[4]",1.255057273,-0.345621409,0.68387378,1.259932498,1.810514037,2.856383813
"8","mu[5]",-4.37181995,-4.982518992,-4.770032311,-4.485444235,-4.099593002,-3.140552812
