"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.01161995,1.872772954,2.433796067,2.841924843,3.467174352,5.004846185
"2","rho",0.463584327,-0.908239717,-0.240184039,0.177613954,0.854274941,2.598581711
"3","sigma",3.432062681,3.057640171,3.294252308,3.425238888,3.566572985,3.834000958
"4","mu[1]",-1.541041916,-4.095121095,-2.632880263,-1.763127892,-0.781107151,2.548394172
"5","mu[2]",-2.557363242,-4.822484367,-3.824816733,-2.974060592,-1.890334951,2.276449012
"6","mu[3]",-3.262343831,-4.923141167,-4.39506141,-3.785184873,-2.764706386,1.411634379
"7","mu[4]",-3.60730988,-4.962212328,-4.57478992,-4.069232915,-3.143111782,0.390112226
"8","mu[5]",-3.810774568,-4.975341377,-4.692605539,-4.272257963,-3.477069162,0.087154389
