"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.015021992,1.564551207,1.865609372,2.014278538,2.162610777,2.444281499
"2","rho",-1.368252166,-1.667793394,-1.4673021,-1.367381111,-1.269774937,-1.076645788
"3","sigma",2.915305829,2.685088787,2.830952021,2.912601812,2.99475522,3.158631602
"4","mu[1]",0.193599784,-0.670738954,-0.102908851,0.194456136,0.490434113,1.089182611
"5","mu[2]",-1.937603615,-2.80112152,-2.239008768,-1.938684979,-1.623681064,-1.05871713
"6","mu[3]",0.093129094,-0.81503202,-0.238555123,0.095540603,0.417085072,1.070043217
"7","mu[4]",7.106125138,6.155841486,6.777944274,7.103609589,7.432120827,8.058064491
"8","mu[5]",3.990595194,3.103077246,3.670818301,3.985219939,4.307779816,4.936261074
