"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.023657921,1.600074997,1.865205448,2.010893209,2.168236505,2.514614987
"2","rho",-0.613037664,-0.944507917,-0.708376195,-0.602439608,-0.508364438,-0.331699197
"3","sigma",2.865542113,2.683848005,2.801758927,2.862306281,2.926898179,3.059651586
"4","mu[1]",1.108451933,-0.220976579,0.675360178,1.105348274,1.552351668,2.421378988
"5","mu[2]",2.444094943,1.108633581,2.006056576,2.465827907,2.881230903,3.687625759
"6","mu[3]",-3.828874166,-4.889203942,-4.29533728,-3.855806933,-3.425962951,-2.514672969
"7","mu[4]",-0.743577902,-2.121032512,-1.216339331,-0.752572507,-0.25172418,0.605831088
"8","mu[5]",-1.362704779,-2.781619158,-1.817089172,-1.348298481,-0.888488481,-0.01120841
