"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.13416033,1.596517046,2.868752075,3.303892737,3.566403753,4.090576756
"2","rho",-1.912601661,-2.987660622,-2.880798493,-2.746554099,-2.357600981,2.249436647
"3","sigma",1.418733208,0.04570946,0.492953101,1.089544094,2.420911195,3.363255241
"4","mu[1]",1.963878271,0.056239862,1.470043012,1.916641654,2.446657325,3.712379693
"5","mu[2]",2.293008594,0.411841882,1.782456599,2.368856306,2.841941829,3.960955099
"6","mu[3]",-3.831174897,-4.919766996,-4.48835343,-4.023282844,-3.42774991,-1.479297465
"7","mu[4]",-1.712528697,-3.543588449,-2.410272251,-1.789546341,-1.103914971,0.627544683
"8","mu[5]",2.803064651,0.095243213,2.189103795,2.89289387,3.563928882,4.76968594
