"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.446758312,1.33996401,2.053598216,2.429096184,2.817165747,3.641086075
"2","rho",-0.672597342,-2.796707788,-1.305220868,-0.686149164,-0.128478992,1.801403174
"3","sigma",2.421770649,0.91151667,2.205326782,2.497443693,2.753963976,3.178499248
"4","mu[1]",3.510756841,0.862609369,2.947068121,3.598872314,4.225292923,5.463558779
"5","mu[2]",4.21915865,1.656581584,3.612834326,4.285839113,4.909430439,6.411589679
"6","mu[3]",1.346398532,-0.877146003,0.648672685,1.348250422,2.041069135,3.670442912
"7","mu[4]",2.236503362,-0.450567978,1.551328939,2.27229144,2.976454402,4.569490449
"8","mu[5]",-0.704618716,-2.834019571,-1.3925586,-0.697529918,-0.044118936,1.523919265
