"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.176165928,2.32578302,2.898107232,3.182889784,3.4699766,3.996841729
"2","rho",-1.331603192,-2.497728554,-1.591157549,-1.294018182,-1.03374242,-0.418919436
"3","sigma",1.749831318,0.440849231,1.426272683,1.795078879,2.118651715,2.727550459
"4","mu[1]",-1.973458349,-3.604265547,-2.540433648,-1.974613377,-1.420124971,-0.288629021
"5","mu[2]",1.826157602,-0.076880321,1.182329341,1.839871504,2.461974652,3.740142375
"6","mu[3]",1.568181628,-0.211706183,0.985180696,1.572737422,2.157699125,3.317703861
"7","mu[4]",3.380370145,1.378552768,2.724690061,3.376151567,4.036572145,5.358741595
"8","mu[5]",-4.355027572,-4.980999283,-4.791911437,-4.512253932,-4.086301553,-2.865465596
