"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.144684123,0.802279722,1.600494573,2.07189658,2.646095797,3.701442032
"2","rho",-1.238225011,-2.969933128,-2.455138266,-1.604705827,-0.725157435,2.860990804
"3","sigma",3.087836466,1.791940336,2.832166203,3.221181922,3.457564958,3.789787167
"4","mu[1]",0.866049944,-1.289938155,0.502865658,0.932566803,1.322636625,2.382280523
"5","mu[2]",-2.357509787,-3.894543078,-2.924132338,-2.491717456,-2.015439353,0.88762354
"6","mu[3]",2.158886017,-0.169913752,1.772339237,2.226851327,2.644670414,3.583723768
"7","mu[4]",6.177519581,4.487912941,5.665009128,6.159642548,6.634211639,8.46655015
"8","mu[5]",-4.333528377,-4.979900422,-4.816826619,-4.603119061,-4.272832701,-1.298882038
