"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.773049301,1.075471562,2.349803742,2.931658939,3.19517878,4.384769128
"2","rho",-0.420786568,-2.986406392,-2.876308624,0.79204573,1.651969396,2.446455537
"3","sigma",2.078907831,0.158714563,1.000712337,2.821583534,3.002770063,3.210910967
"4","mu[1]",-1.972645886,-4.319787,-2.657643804,-2.159179397,-1.582074662,1.574186912
"5","mu[2]",-3.384418082,-4.952769468,-4.593132997,-4.092445925,-2.718407427,1.534322729
"6","mu[3]",-3.735692394,-4.977411457,-4.721270593,-4.315026921,-3.287435311,0.358509582
"7","mu[4]",-1.409949458,-3.923707612,-2.29427143,-1.770756368,-0.946940285,2.895432742
"8","mu[5]",-3.100657491,-4.820341057,-4.160958579,-3.63918832,-2.613933475,1.316680732
