"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.412285713,1.742663312,2.769679326,3.378157785,4.017270777,5.233798307
"2","rho",2.398090451,1.47639323,2.130836125,2.400654396,2.680479794,3.256007187
"3","sigma",2.781198132,2.553048021,2.696175776,2.776275917,2.858045547,3.02990922
"4","mu[1]",5.53471144,-0.205021443,3.884860442,5.71448949,7.377878829,10.482488191
"5","mu[2]",0.252943834,-4.424455102,-1.544539082,0.237393931,1.843471202,5.859641237
"6","mu[3]",1.2177967,-3.851107482,-0.510438501,1.251629853,2.937340062,6.234232194
"7","mu[4]",-2.783474909,-4.923655233,-4.185209072,-3.253898739,-1.836759961,1.708081739
"8","mu[5]",-0.943781351,-4.598421095,-2.676487835,-1.085227185,0.495180346,4.141972083
