"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.994177009,2.568362719,3.416346875,3.9584621,4.510283532,5.662177484
"2","rho",2.905097903,1.790976886,2.553284029,2.915192018,3.276376783,3.956743042
"3","sigma",3.071230382,2.821938088,2.977471942,3.065921242,3.159804391,3.355086293
"4","mu[1]",3.34150505,-2.352995413,1.33236684,3.40654824,5.22858386,9.121480171
"5","mu[2]",2.206319895,-3.241958385,0.195472337,2.161557381,4.124545262,8.023497238
"6","mu[3]",-3.328496839,-4.969079888,-4.493250563,-3.745208842,-2.626343795,0.693793176
"7","mu[4]",1.252459788,-3.907657136,-0.716134611,1.225970369,3.162436703,6.796339338
"8","mu[5]",0.886519497,-4.318914419,-1.13342371,0.824982444,2.80082225,6.790174987
