"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.378304631,1.692449418,2.724630868,3.336867585,3.970320253,5.215386581
"2","rho",2.910181708,1.875605121,2.554850399,2.911455442,3.256567586,3.997200779
"3","sigma",2.880993293,2.647203169,2.794166559,2.87687041,2.963716699,3.147721363
"4","mu[1]",0.974905785,-3.878440888,-0.725657114,0.966915469,2.606540435,6.157203155
"5","mu[2]",3.55443914,-1.976706713,1.760552548,3.670209448,5.335265686,8.609168529
"6","mu[3]",-2.977820084,-4.931951093,-4.313780092,-3.430223819,-2.14700062,1.417515827
"7","mu[4]",1.404056586,-3.535130321,-0.362014661,1.296784985,3.138373947,6.837147331
"8","mu[5]",-2.103069934,-4.851076133,-3.763528542,-2.550160184,-0.870891238,3.036509523
