"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.200285839,0.521446823,1.41684589,2.073849605,2.883899246,4.449593274
"2","rho",0.877378483,-2.699358316,-1.258364484,1.768602196,2.422627232,3.264865506
"3","sigma",2.894989557,2.066944449,2.808526681,2.947770604,3.055719602,3.2556829
"4","mu[1]",1.135650645,-2.458692934,0.393077345,1.006330716,1.797204177,5.09707492
"5","mu[2]",0.959381737,-2.861193417,0.283786886,0.996506783,1.670099872,4.581058217
"6","mu[3]",0.66980417,-3.100947702,-0.034479808,0.660730921,1.327121696,4.55989392
"7","mu[4]",3.307435861,-0.937755536,2.552180517,3.568227947,4.226153035,6.562219782
"8","mu[5]",1.384567825,-2.290352584,0.558667025,1.236544709,2.079028417,5.670093046
