"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.188719253,1.799613103,2.032371344,2.177626681,2.330621487,2.661722786
"2","rho",-0.557466398,-0.799015107,-0.645408997,-0.560657863,-0.47287325,-0.299064364
"3","sigma",3.040690821,2.892014225,2.98905215,3.041014759,3.087781328,3.198077582
"4","mu[1]",3.380660873,1.994717196,2.887814132,3.365690054,3.86972218,4.837467627
"5","mu[2]",2.438662252,1.078696267,1.960454685,2.43146787,2.925200851,3.809950454
"6","mu[3]",-3.185756672,-4.459899893,-3.631977112,-3.195184252,-2.767046331,-1.891619534
"7","mu[4]",-1.164564831,-2.652280743,-1.654197097,-1.165406543,-0.670433725,0.315530837
"8","mu[5]",-0.169324949,-1.716117339,-0.674198136,-0.16125291,0.324522892,1.368400132
