"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.656232075,1.753526657,2.222737373,2.580442786,3.021709906,3.981075226
"2","rho",0.829970752,0.369669208,0.652063401,0.82357599,1.003522276,1.310868952
"3","sigma",2.963354989,2.828795836,2.916072548,2.963590295,3.00932079,3.101323299
"4","mu[1]",-3.25702502,-4.8991332,-4.181030692,-3.438596668,-2.565431277,-0.406535114
"5","mu[2]",-0.690372918,-3.580271307,-1.730501221,-0.738077689,0.230113329,2.69825721
"6","mu[3]",-3.350185006,-4.915883394,-4.290074377,-3.565398143,-2.673476605,-0.482477186
"7","mu[4]",-2.585947316,-4.802621447,-3.614408555,-2.675309598,-1.722533186,0.442326388
"8","mu[5]",-1.647632554,-4.364043352,-2.649407004,-1.724674174,-0.733938701,1.463510489
