"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.146366567,1.783996663,2.006242304,2.137283701,2.277453967,2.566050904
"2","rho",-0.826718019,-1.058205548,-0.903856675,-0.82691488,-0.748802175,-0.600663602
"3","sigma",3.103566933,2.947090165,3.050179227,3.102247246,3.157327842,3.270532805
"4","mu[1]",-1.820726689,-2.968143013,-2.218301086,-1.831686011,-1.405859624,-0.64260744
"5","mu[2]",-0.973757276,-2.090736239,-1.33658643,-0.975202191,-0.605977913,0.137432784
"6","mu[3]",3.189019801,1.965272956,2.771614377,3.186162712,3.606946684,4.43745134
"7","mu[4]",-1.377777233,-2.595881442,-1.802961426,-1.357843722,-0.967107451,-0.152834527
"8","mu[5]",3.541001487,2.327348462,3.110581942,3.554972164,3.969263335,4.738622979
