"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.811869015,0.895077029,2.092120737,2.80509578,3.503912378,4.917008008
"2","rho",2.644746542,1.436609851,2.3311338,2.679652612,3.006402612,3.618292395
"3","sigma",2.906933294,2.78283909,2.863170348,2.905051043,2.94989083,3.03764727
"4","mu[1]",1.44091488,-3.353134458,0.028755824,1.548529366,2.817379704,5.930549617
"5","mu[2]",4.011451232,-1.365914202,2.619836813,4.200120712,5.532670054,8.536563513
"6","mu[3]",3.847175979,-1.707583559,2.48875565,4.02370041,5.337463413,8.442040872
"7","mu[4]",-2.523963601,-4.915185534,-4.047871331,-2.970130739,-1.458262752,2.184893693
"8","mu[5]",0.217172664,-4.009955729,-1.344108632,0.254650325,1.568516704,5.212119832
