"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.699616964,2.423676272,3.17631019,3.643428879,4.174925913,5.304820547
"2","rho",1.00681083,0.362736755,0.857365077,1.039699237,1.195704596,1.445330166
"3","sigma",3.984498522,3.649136095,3.858075019,3.975353174,4.101978943,4.36139566
"4","mu[1]",0.685901032,-3.676322212,-0.770448403,0.717159985,2.149449953,4.93438635
"5","mu[2]",-1.747912458,-4.689128258,-3.156576648,-1.912865374,-0.580521023,2.221016594
"6","mu[3]",-2.340669049,-4.868210318,-3.686297255,-2.589165044,-1.341361838,1.779218256
"7","mu[4]",-2.844881211,-4.915526278,-4.075127905,-3.16632793,-1.943941059,1.042805839
"8","mu[5]",-3.097077241,-4.911825396,-4.238837004,-3.435034843,-2.291049151,0.473918686
