"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.39566902,1.647224856,2.68154594,3.390167217,4.033018795,5.422396067
"2","rho",2.040818501,0.09924346,1.735371374,2.045440694,2.422076289,3.186131564
"3","sigma",2.794512004,2.588450697,2.718475668,2.79230545,2.867532339,3.012529449
"4","mu[1]",-2.547974283,-4.927512658,-4.08367005,-2.969863038,-1.445244475,2.188010731
"5","mu[2]",-2.779804521,-4.910916403,-4.130902844,-3.164913282,-1.848536007,1.543067067
"6","mu[3]",-2.652477897,-4.90863489,-4.176179621,-3.115893936,-1.623844784,2.208977314
"7","mu[4]",-2.925055926,-4.919171663,-4.293974916,-3.435546893,-1.987058161,1.504842496
"8","mu[5]",-3.089848734,-4.946071603,-4.374193684,-3.539058967,-2.289271182,1.25792581
