"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.62833046,1.83103841,2.970664719,3.60689769,4.271023899,5.508010312
"2","rho",2.570244796,1.77565509,2.30960351,2.566389532,2.838175665,3.36789064
"3","sigma",2.032999756,1.893482949,1.97804725,2.030552884,2.08356029,2.19258029
"4","mu[1]",-2.327134059,-4.898153448,-3.919021206,-2.713488881,-1.17628424,2.597717145
"5","mu[2]",-2.271066522,-4.87789866,-3.926097708,-2.724366952,-1.097131066,2.844648332
"6","mu[3]",-2.530114143,-4.901135727,-4.054397072,-2.986871473,-1.475220892,2.249819339
"7","mu[4]",-1.63785165,-4.858598299,-3.38844752,-1.989855408,-0.263473335,3.774788723
"8","mu[5]",-2.233870324,-4.876217846,-3.849336055,-2.713904347,-1.052389949,2.843195044
