"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.576779968,1.817540078,2.946966971,3.568122089,4.225632008,5.36124267
"2","rho",2.332538169,1.387422324,1.954434642,2.320769044,2.69652843,3.346651365
"3","sigma",2.770534531,2.563718284,2.694718312,2.767814871,2.840553218,2.992227386
"4","mu[1]",-2.293620021,-4.863360149,-3.85853009,-2.670141641,-1.228915269,2.662170342
"5","mu[2]",-2.525277894,-4.914291596,-4.025656316,-2.96320109,-1.451583225,2.206751002
"6","mu[3]",-2.477135202,-4.896893009,-4.007985409,-2.943514687,-1.382620665,2.161191783
"7","mu[4]",-2.705495345,-4.925208814,-4.154873933,-3.148873854,-1.695389007,1.764046259
"8","mu[5]",-2.828438106,-4.923346548,-4.261413518,-3.326061884,-1.87013303,1.966466121
