"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.37583256,1.850311872,2.682503784,3.275380487,4.019227917,5.350440283
"2","rho",1.430199872,0.033879681,0.385157524,1.72466249,2.307242239,2.870592968
"3","sigma",3.658432538,3.352945717,3.548711927,3.657652901,3.764452257,3.977695263
"4","mu[1]",-1.435162179,-4.638007848,-2.847673088,-1.672597184,-0.317686556,3.216159864
"5","mu[2]",-1.629621245,-4.781301103,-3.331885792,-2.106568675,-0.270275922,3.828112199
"6","mu[3]",-2.711807547,-4.930347663,-4.162022877,-3.20233101,-1.716452867,2.216705829
"7","mu[4]",-3.085501788,-4.939246051,-4.382391783,-3.583358228,-2.258805549,1.275568063
"8","mu[5]",-3.128008995,-4.934909311,-4.428433658,-3.650018529,-2.346520844,1.588765331
