"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",4.343200802,3.113239691,3.839700683,4.295277804,4.795663832,5.811662505
"2","rho",0.847173505,0.432568026,0.711923343,0.860556174,0.988083407,1.210044825
"3","sigma",3.544386811,3.22073104,3.42070687,3.534749104,3.659556661,3.918869666
"4","mu[1]",-0.461145513,-4.264407523,-2.032993023,-0.590462367,0.968269347,3.980917746
"5","mu[2]",-1.697533894,-4.838859468,-3.234562325,-1.911013452,-0.447165007,2.95450557
"6","mu[3]",-2.592235473,-4.897781851,-3.960505579,-2.919911569,-1.546982324,1.543738357
"7","mu[4]",-2.604101239,-4.896887159,-3.961976052,-2.992240585,-1.64219401,1.669985581
"8","mu[5]",-2.093142388,-4.869704669,-3.633648784,-2.431175449,-0.859454912,2.648589648
