"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.250323009,1.340083037,1.870877607,2.195164839,2.563190584,3.503476968
"2","rho",0.27138524,0.011105617,0.10152167,0.212582079,0.376328232,0.856482054
"3","sigma",3.676599352,3.392366746,3.57697374,3.676415559,3.772788045,3.976191504
"4","mu[1]",-0.970821297,-3.127187596,-1.757808035,-1.006573594,-0.248803973,1.428684614
"5","mu[2]",-3.940802252,-4.950747967,-4.552499907,-4.108707146,-3.502700335,-2.038385472
"6","mu[3]",-3.813929964,-4.948512234,-4.491663447,-3.974374382,-3.354783978,-1.737267512
"7","mu[4]",-3.96504217,-4.948247856,-4.575138526,-4.140677302,-3.537043632,-1.999280042
"8","mu[5]",-4.108111067,-4.965749228,-4.669874685,-4.28294831,-3.744092305,-2.214091554
