"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.832746473,1.466873654,2.312822515,2.776524564,3.303881802,4.412656511
"2","rho",0.77419224,0.04103212,0.35149127,0.750444075,1.117014581,1.83140791
"3","sigma",4.663311193,4.204815708,4.495619195,4.652188228,4.819286076,5.170834644
"4","mu[1]",-2.160491377,-4.762411599,-3.382832249,-2.358010237,-1.161990822,1.576616154
"5","mu[2]",-0.915311992,-3.858310402,-2.018774325,-0.992055975,0.078363227,2.78861893
"6","mu[3]",-1.022347985,-4.208167908,-2.290806008,-1.157097022,0.060507176,2.834178048
"7","mu[4]",0.431920272,-3.070544361,-0.715743364,0.46192053,1.576468435,3.938238701
"8","mu[5]",-0.433244877,-4.559896445,-1.572552996,-0.369905016,0.756535794,3.097349015
