"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.694741508,1.444024538,2.172210967,2.590928616,3.151521855,4.435061383
"2","rho",0.811795467,0.02569444,0.349244654,0.791758351,1.213646163,1.826059227
"3","sigma",4.823555271,4.459608846,4.68482209,4.815490525,4.956483197,5.220210488
"4","mu[1]",-1.726754108,-4.600813331,-2.990769925,-1.935674607,-0.737813689,2.588615226
"5","mu[2]",-1.313232479,-4.161442286,-2.45385019,-1.428006349,-0.37897362,2.287809522
"6","mu[3]",-0.61223163,-3.717448774,-1.716592678,-0.668669977,0.412009015,2.838893015
"7","mu[4]",0.032140713,-3.391633893,-1.002533152,0.055470474,1.06075245,3.428374904
"8","mu[5]",-1.095472037,-4.273015963,-2.162326668,-1.120849897,-0.035190205,2.244120979
