"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.624254359,1.985866936,2.983988663,3.598866342,4.218917144,5.427593251
"2","rho",1.48728962,0.306417009,1.034459601,1.521727343,1.969743318,2.52451755
"3","sigma",3.521146084,3.156967113,3.395022269,3.513653439,3.641836474,3.905872887
"4","mu[1]",-1.363477853,-4.693987313,-3.027660611,-1.660701213,-0.014469264,3.834878553
"5","mu[2]",-1.226526588,-4.605893166,-2.936053767,-1.513126417,0.134690386,4.113183116
"6","mu[3]",-2.158864663,-4.824864454,-3.726052796,-2.558614907,-1.049154342,2.870647897
"7","mu[4]",-2.560432807,-4.923672498,-4.02327441,-2.987947129,-1.593527308,2.200179011
"8","mu[5]",-2.826299154,-4.913785491,-4.176808588,-3.263953245,-1.96508035,1.690074043
