"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.576108524,1.75838501,2.249134414,2.523552112,2.856287521,3.692194145
"2","rho",0.211342207,0.002107862,0.031578053,0.084586873,0.224215716,1.066061701
"3","sigma",2.36015773,2.089643483,2.254678867,2.351008787,2.458202118,2.673524793
"4","mu[1]",-2.325225884,-4.467703146,-3.146753422,-2.368344348,-1.561788097,0.094236984
"5","mu[2]",-4.003996838,-4.952641617,-4.621366755,-4.209388142,-3.614633926,-1.979480161
"6","mu[3]",-4.199166634,-4.964204303,-4.733530799,-4.396273734,-3.896036452,-2.265589862
"7","mu[4]",-4.073356914,-4.956000176,-4.662496265,-4.27365523,-3.705205509,-2.171536774
"8","mu[5]",-4.239979623,-4.981254193,-4.756700308,-4.43750804,-3.930742397,-2.503642915
