"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.306823253,2.360471552,2.949973444,3.27726551,3.6386414,4.388105537
"2","rho",0.138390656,0.002545805,0.033930274,0.08128932,0.158466945,0.594966713
"3","sigma",3.264605239,3.00501567,3.163085153,3.255860894,3.354929497,3.577664207
"4","mu[1]",-1.272137608,-4.164410427,-2.280028641,-1.298191312,-0.30836475,1.748781874
"5","mu[2]",-3.81523019,-4.955867178,-4.52320986,-3.999934667,-3.341804838,-1.512406992
"6","mu[3]",-3.881378467,-4.96202823,-4.601766142,-4.131229033,-3.398729194,-1.576010817
"7","mu[4]",-3.767516076,-4.947968612,-4.504995105,-3.971861133,-3.266296605,-1.431181794
"8","mu[5]",-3.132533393,-4.888083459,-4.060708832,-3.287555331,-2.387394956,-0.410385671
