"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.599138609,1.45801754,2.039595013,2.472220031,3.040732716,4.398497991
"2","rho",0.826098376,-1.508655008,0.409149934,1.060461589,1.390795347,2.00314513
"3","sigma",2.819620863,2.124077657,2.732544742,2.847188972,2.961606224,3.165713052
"4","mu[1]",3.406515801,-0.919188422,2.533742667,3.593945123,4.503451505,6.65623298
"5","mu[2]",3.07002993,-0.631424557,2.115388473,3.156149042,4.117761058,6.343699474
"6","mu[3]",1.034639346,-2.388838295,0.05969701,0.985236298,2.021678628,4.562681963
"7","mu[4]",1.596136909,-2.856081475,0.637078741,1.833755392,2.762933131,4.847665192
"8","mu[5]",-1.769380695,-4.602801223,-2.720072815,-1.802107347,-0.882765049,1.51201916
