"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.333338712,1.841152795,2.716155844,3.130580413,3.911447601,5.226110442
"2","rho",1.031983222,-2.611819886,-1.922659411,2.13132718,2.669208807,3.494393251
"3","sigma",1.922166584,0.379224104,0.856947196,2.369497143,2.531884759,2.811051767
"4","mu[1]",-2.142902578,-4.728214691,-3.400784203,-2.591205647,-1.277263528,2.636559201
"5","mu[2]",-2.850794573,-4.959393261,-4.544765098,-3.582320789,-1.686039457,2.392513824
"6","mu[3]",-3.042640305,-4.967055457,-4.620375876,-3.786917533,-2.0211176,2.263935424
"7","mu[4]",-3.103477314,-4.968905092,-4.591899817,-3.806281127,-2.133714,1.920910623
"8","mu[5]",-3.1868525,-4.975626195,-4.637638699,-3.882820459,-2.245589381,1.747397101
