"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",4.700675698,3.748920361,4.374297376,4.68277545,5.012822833,5.745265374
"2","rho",-0.646936099,-1.250739889,-0.794378331,-0.636613662,-0.491021525,-0.148312832
"3","sigma",2.039347378,1.148118967,1.779629543,2.02704558,2.297919026,2.908968186
"4","mu[1]",1.1327521,-1.963729683,0.042113054,1.100256844,2.208926628,4.303718192
"5","mu[2]",-0.612355889,-3.467771688,-1.562325805,-0.649746184,0.31522213,2.367606361
"6","mu[3]",-2.600099698,-4.836861966,-3.780480339,-2.771711727,-1.653546668,0.681737771
"7","mu[4]",-3.162062896,-4.881395923,-4.110210674,-3.318015389,-2.413945408,-0.294004134
"8","mu[5]",-3.290879796,-4.88929505,-4.191633087,-3.47440997,-2.6117996,-0.609235124
