"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",1.637362464,0.756008891,1.20950803,1.48637899,1.883706113,3.536763906
"2","rho",0.544527217,-0.727895424,0.134520916,0.445459002,0.919950046,2.005917997
"3","sigma",2.77465426,2.555057633,2.699080266,2.774320193,2.848750664,2.999565194
"4","mu[1]",0.800197366,-1.515388432,0.251429358,0.802315074,1.364504152,2.96023085
"5","mu[2]",1.545348245,-1.247137695,1.021833305,1.648676038,2.1935088,3.552398986
"6","mu[3]",3.449949764,0.362527154,2.943167907,3.616453727,4.175790286,5.479919875
"7","mu[4]",1.720709043,-0.585380484,1.157100889,1.736333398,2.305565649,3.913192281
"8","mu[5]",-2.431561278,-4.343023686,-3.175908161,-2.595616791,-1.907559868,0.60152788
