"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.524978819,2.225031647,2.982228059,3.470729184,4.009584865,5.135697682
"2","rho",1.911460874,0.634462954,1.216270779,1.784561229,2.570355019,3.593652251
"3","sigma",2.910007984,2.668108649,2.826616921,2.903641311,2.993215705,3.162083054
"4","mu[1]",-0.095492589,-4.209216272,-1.766261367,-0.208784906,1.368122387,4.889117949
"5","mu[2]",-3.673014257,-4.964717555,-4.638624057,-4.066358035,-3.111254124,-0.18376033
"6","mu[3]",0.660590678,-3.719801473,-0.946815757,0.646689395,2.125250909,5.43154691
"7","mu[4]",2.113088315,-3.18727458,0.526427034,2.234543636,3.813921344,6.897462019
"8","mu[5]",3.228087376,-1.899852015,1.556918278,3.252418122,4.960095301,8.069922254
