"id","deviation_10","deviation_30","deviation_50","deviation_80","a","d","n","N","N_10","N_30","N_50","N_80","point_density_sim_gp","mean_deviation_10","mean_deviation_30","mean_deviation_50","mean_deviation_80"
34,0.0725958804986503,0.177728497244982,0.226547407712564,0.565117063893107,6,4,10,100,90,70,50,20,1,0.0592147506967056,0.148340245402363,0.253221586023005,0.61753468058374
35,0.0531555737601223,0.131035863762429,0.215293303605366,0.661926772866867,6,6,10,100,90,70,50,20,1,0.042665233855932,0.11827508565754,0.188362734418997,0.505178802547277
36,0.123351981822016,0.247549617719663,0.550669753368758,1.3451556177151,6,1,20,400,360,280,200,80,4,0.10385794888702,0.262049558433396,0.474111819975612,1.44042341198993
37,0.0628230152610833,0.132398302508318,0.230208280294703,0.666922391114873,6,1.5,20,400,360,280,200,80,4,0.0690704187830492,0.152113090101673,0.240347272672256,0.713628473643774
38,0.0344344538270715,0.0813261384793735,0.142273933164752,0.344515683998549,6,3,20,400,360,280,200,80,4,0.0384132378372691,0.0793271114150167,0.125232333716494,0.307625775365426
39,0.043214335867316,0.0689795255255869,0.134408087551154,0.264881694240256,6,4,20,400,360,280,200,80,4,0.0345360822940537,0.0661494694646849,0.106192372143818,0.234529754529443
40,0.0234076269284937,0.0399757756697073,0.0853745971704506,0.15889889385081,6,6,20,400,360,280,200,80,4,0.0272980362446578,0.0581664116115118,0.0874262634298676,0.180081279391632
41,0.0757085875135903,0.13968865546145,0.255715650855831,0.571733470085849,6,1,30,900,810,630,450,180,9,0.0681184198756488,0.13837250016587,0.232018194946308,0.63121645269312
42,0.04152103544436,0.102583163980359,0.13756486573989,0.399091001743393,6,1.5,30,900,810,630,450,180,9,0.0419839394327869,0.0944819125605886,0.142432979152987,0.342463064314925
43,0.0208417759178394,0.042632908063501,0.0991812739455853,0.158799900044171,6,3,30,900,810,630,450,180,9,0.0280715710800522,0.052331479376868,0.0872807010358153,0.163769528959775
44,0.0246549629953971,0.0388506835290305,0.0653363221724546,0.127469551974422,6,4,30,900,810,630,450,180,9,0.0237031628530307,0.0417541772614761,0.06664515005784,0.143777846912244
45,0.0198230576606004,0.0366009588026742,0.0673930014995119,0.150089924119225,6,6,30,900,810,630,450,180,9,0.019042482123034,0.0384542662291692,0.0584114242068199,0.12083864404672
46,0.517178844685532,0.645045193782214,1.39015748103839,2.53968406729625,6,1,10,100,90,70,50,20,1,0.40109499841635,0.911302056705325,1.65547890835277,3.27870308114101
47,0.229852023105406,0.806290455072294,1.15645206418541,2.29273212837747,6,1.5,10,100,90,70,50,20,1,0.238881027582527,0.592309940650987,0.950708806638291,2.47717073603174
48,0.124503783973573,0.14762480441806,0.32738730563918,0.829031060926768,6,3,10,100,90,70,50,20,1,0.0779730757300689,0.203332252744675,0.306760363553555,0.9325287565101
49,0.0406661076938503,0.148559762786155,0.34697159140342,0.723476339938793,6,4,10,100,90,70,50,20,1,0.0592147506967056,0.148340245402363,0.253221586023005,0.61753468058374
50,0.047148344450139,0.0978901135404026,0.176554429940784,0.547221829807581,6,6,10,100,90,70,50,20,1,0.042665233855932,0.11827508565754,0.188362734418997,0.505178802547277
51,0.0943588120560776,0.329651473379472,0.44758241108356,1.61705236703987,6,1,20,400,360,280,200,80,4,0.10385794888702,0.262049558433396,0.474111819975612,1.44042341198993
52,0.0476431940441715,0.13070910533636,0.231011879806297,0.645065860001242,6,1.5,20,400,360,280,200,80,4,0.0690704187830492,0.152113090101673,0.240347272672256,0.713628473643774
53,0.0294701233647549,0.0876767242877025,0.114191766765084,0.231333968621431,6,3,20,400,360,280,200,80,4,0.0384132378372691,0.0793271114150167,0.125232333716494,0.307625775365426
54,0.0251790174595662,0.064576273375961,0.0700108013605914,0.219899057028052,6,4,20,400,360,280,200,80,4,0.0345360822940537,0.0661494694646849,0.106192372143818,0.234529754529443
55,0.027137956437265,0.0496415952548804,0.106166288940999,0.150510400715234,6,6,20,400,360,280,200,80,4,0.0272980362446578,0.0581664116115118,0.0874262634298676,0.180081279391632
56,0.068824679789688,0.127451379461783,0.282433869901171,0.72426454363821,6,1,30,900,810,630,450,180,9,0.0681184198756488,0.13837250016587,0.232018194946308,0.63121645269312
57,0.0465053292051061,0.0962046328399097,0.11893663510137,0.381785337169651,6,1.5,30,900,810,630,450,180,9,0.0419839394327869,0.0944819125605886,0.142432979152987,0.342463064314925
58,0.0300435775243418,0.062406481820646,0.0727277657010007,0.160521554196429,6,3,30,900,810,630,450,180,9,0.0280715710800522,0.052331479376868,0.0872807010358153,0.163769528959775
59,0.0263481934650813,0.040731691260627,0.070766306400495,0.163175767885282,6,4,30,900,810,630,450,180,9,0.0237031628530307,0.0417541772614761,0.06664515005784,0.143777846912244
60,0.0189127196399176,0.0331346900693078,0.0500607606192634,0.150865437755286,6,6,30,900,810,630,450,180,9,0.019042482123034,0.0384542662291692,0.0584114242068199,0.12083864404672
61,0.54391252112575,0.799911815742497,1.78708788791822,3.59825832156792,6,1,10,100,90,70,50,20,1,0.40109499841635,0.911302056705325,1.65547890835277,3.27870308114101
62,0.192623441803315,0.738674591681042,0.883389001269664,2.60887557043828,6,1.5,10,100,90,70,50,20,1,0.238881027582527,0.592309940650987,0.950708806638291,2.47717073603174
63,0.068398594497041,0.127870469207442,0.279806184200738,0.981358640152439,6,3,10,100,90,70,50,20,1,0.0779730757300689,0.203332252744675,0.306760363553555,0.9325287565101
64,0.0521790981490282,0.171844887614452,0.289732345448913,0.666308520675847,6,4,10,100,90,70,50,20,1,0.0592147506967056,0.148340245402363,0.253221586023005,0.61753468058374
65,0.0350980404257953,0.136346881960591,0.219023513142482,0.171700699511956,6,6,10,100,90,70,50,20,1,0.042665233855932,0.11827508565754,0.188362734418997,0.505178802547277
66,0.101976434476805,0.253441262173144,0.426369226007589,1.40853495957806,6,1,20,400,360,280,200,80,4,0.10385794888702,0.262049558433396,0.474111819975612,1.44042341198993
67,0.0862732500382614,0.166032507273332,0.227074380581962,0.716253754749099,6,1.5,20,400,360,280,200,80,4,0.0690704187830492,0.152113090101673,0.240347272672256,0.713628473643774
68,0.0336792040707505,0.0660822222024706,0.128812671688482,0.218522515829654,6,3,20,400,360,280,200,80,4,0.0384132378372691,0.0793271114150167,0.125232333716494,0.307625775365426
69,0.0292125903069664,0.0853431707022131,0.104189901980575,0.218626041999157,6,4,20,400,360,280,200,80,4,0.0345360822940537,0.0661494694646849,0.106192372143818,0.234529754529443
70,0.0260303779646336,0.0683689328633193,0.0780977877095018,0.249684712890095,6,6,20,400,360,280,200,80,4,0.0272980362446578,0.0581664116115118,0.0874262634298676,0.180081279391632
71,0.0796162821471699,0.159941190094733,0.24907942809959,0.701048094366102,6,1,30,900,810,630,450,180,9,0.0681184198756488,0.13837250016587,0.232018194946308,0.63121645269312
72,0.0445729350419533,0.0902110993915319,0.148420655757429,0.332484566439655,6,1.5,30,900,810,630,450,180,9,0.0419839394327869,0.0944819125605886,0.142432979152987,0.342463064314925
73,0.0236599213124766,0.0544657266654095,0.0833299108573274,0.174892322534253,6,3,30,900,810,630,450,180,9,0.0280715710800522,0.052331479376868,0.0872807010358153,0.163769528959775
74,0.020918936490873,0.0479114146789007,0.0644184475451639,0.156140820154906,6,4,30,900,810,630,450,180,9,0.0237031628530307,0.0417541772614761,0.06664515005784,0.143777846912244
75,0.0193974703061876,0.0300383806321175,0.0479186313448819,0.134962498145314,6,6,30,900,810,630,450,180,9,0.019042482123034,0.0384542662291692,0.0584114242068199,0.12083864404672
76,0.399588113265058,0.93090431197472,2.22168333088302,3.24299353939732,6,1,10,100,90,70,50,20,1,0.40109499841635,0.911302056705325,1.65547890835277,3.27870308114101
77,0.31599522561672,0.788223836480763,0.894547357927869,2.13990425440053,6,1.5,10,100,90,70,50,20,1,0.238881027582527,0.592309940650987,0.950708806638291,2.47717073603174
78,0.0994421456917828,0.311841859350029,0.430138782263217,0.762199726444412,6,3,10,100,90,70,50,20,1,0.0779730757300689,0.203332252744675,0.306760363553555,0.9325287565101
79,0.0724880423850026,0.130481980913123,0.178926290231091,0.56925834869472,6,4,10,100,90,70,50,20,1,0.0592147506967056,0.148340245402363,0.253221586023005,0.61753468058374
80,0.0373820258014599,0.115283290072039,0.178621586491801,0.96901162650623,6,6,10,100,90,70,50,20,1,0.042665233855932,0.11827508565754,0.188362734418997,0.505178802547277
81,0.104407704781195,0.242976469728276,0.512049752188585,1.352787059562,6,1,20,400,360,280,200,80,4,0.10385794888702,0.262049558433396,0.474111819975612,1.44042341198993
82,0.0852664628886171,0.18430495472349,0.278170956959716,1.03418768471546,6,1.5,20,400,360,280,200,80,4,0.0690704187830492,0.152113090101673,0.240347272672256,0.713628473643774
83,0.0383791892750547,0.0633649259149863,0.134535819760789,0.420879538969989,6,3,20,400,360,280,200,80,4,0.0384132378372691,0.0793271114150167,0.125232333716494,0.307625775365426
84,0.0301769455645594,0.045715393296075,0.0992860431598242,0.142945005757729,6,4,20,400,360,280,200,80,4,0.0345360822940537,0.0661494694646849,0.106192372143818,0.234529754529443
85,0.0210727196748942,0.0554595566042877,0.095232106944395,0.146499157523642,6,6,20,400,360,280,200,80,4,0.0272980362446578,0.0581664116115118,0.0874262634298676,0.180081279391632
86,0.0707210294752414,0.148041157342704,0.211809329729123,0.68002078400163,6,1,30,900,810,630,450,180,9,0.0681184198756488,0.13837250016587,0.232018194946308,0.63121645269312
87,0.0394265264461999,0.0970041294527237,0.141816402503304,0.332547170774003,6,1.5,30,900,810,630,450,180,9,0.0419839394327869,0.0944819125605886,0.142432979152987,0.342463064314925
88,0.0242540085628881,0.0497499473367103,0.089384828965134,0.167405812516287,6,3,30,900,810,630,450,180,9,0.0280715710800522,0.052331479376868,0.0872807010358153,0.163769528959775
89,0.0281207235401541,0.0527578285259277,0.0697661746959793,0.125424776469036,6,4,30,900,810,630,450,180,9,0.0237031628530307,0.0417541772614761,0.06664515005784,0.143777846912244
90,0.0170620584269785,0.0380067756107171,0.0670897748244642,0.101144708893788,6,6,30,900,810,630,450,180,9,0.019042482123034,0.0384542662291692,0.0584114242068199,0.12083864404672
91,0.309620493032259,1.29321428777875,1.57752438345652,3.80294155928708,6,1,10,100,90,70,50,20,1,0.40109499841635,0.911302056705325,1.65547890835277,3.27870308114101
92,0.158977660427283,0.459831565045619,1.07671530936943,3.03636617638047,6,1.5,10,100,90,70,50,20,1,0.238881027582527,0.592309940650987,0.950708806638291,2.47717073603174
