"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.543689738,1.719485999,2.188175776,2.480729361,2.85596508,3.6669306
"2","rho",0.850024371,0.615397687,0.769492388,0.848333987,0.93008512,1.094989248
"3","sigma",2.924366737,2.863845555,2.901545626,2.922617139,2.946701648,2.9908723
"4","mu[1]",2.330403583,-0.743423728,1.443198437,2.363646588,3.252843001,5.115968305
"5","mu[2]",-3.792245687,-4.950063585,-4.520212577,-3.994875079,-3.287497362,-1.489917326
"6","mu[3]",-3.233958446,-4.87577723,-4.082523463,-3.377374238,-2.520766604,-0.77949059
"7","mu[4]",0.346418324,-2.435921237,-0.632622184,0.321098672,1.291208044,3.316601691
"8","mu[5]",-1.652330067,-4.264792222,-2.629477527,-1.693636303,-0.735178647,1.261030304
