"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.603588337,1.378837408,2.019031338,2.50733467,3.082184239,4.363676289
"2","rho",1.797178508,1.31427472,1.646569733,1.80101639,1.956812464,2.23631488
"3","sigma",3.021801754,2.95564829,2.999127352,3.02136857,3.043642038,3.091792778
"4","mu[1]",-3.56044026,-4.955562975,-4.493844707,-3.873870904,-2.942212604,-0.581811623
"5","mu[2]",-2.254686524,-4.758037792,-3.508906052,-2.442033631,-1.279693854,1.593045807
"6","mu[3]",0.298516635,-3.444373807,-0.905532677,0.318092205,1.482573021,4.013859971
"7","mu[4]",2.564724302,-1.180912278,1.371445914,2.52357493,3.712916038,6.569652243
"8","mu[5]",2.41523134,-2.222032737,1.258228717,2.563547233,3.776633859,6.019203603
