"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.587846553,2.205088194,2.44584651,2.578085078,2.722756836,3.019639865
"2","rho",-1.511346942,-1.756427325,-1.59194125,-1.507036125,-1.427687,-1.278284109
"3","sigma",1.450436424,1.152905142,1.33922315,1.443438771,1.558944978,1.791207273
"4","mu[1]",-2.940938587,-4.057532292,-3.318059438,-2.933417995,-2.553391466,-1.84523855
"5","mu[2]",-4.533217711,-4.978535991,-4.804866862,-4.604413804,-4.32401364,-3.727374358
"6","mu[3]",-4.714220896,-4.991799566,-4.900486997,-4.780703803,-4.593161419,-4.091341784
"7","mu[4]",-4.696601784,-4.990991146,-4.896549516,-4.763648158,-4.560514259,-4.052360546
"8","mu[5]",-4.746024229,-4.990680906,-4.91643814,-4.812636091,-4.639367948,-4.147947287
