"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.685744756,2.685370121,3.339304238,3.705785177,4.032099921,4.610629884
"2","rho",-1.342677868,-2.242771184,-1.675900869,-1.328363919,-1.045777473,-0.331496276
"3","sigma",3.212193932,2.207134148,2.905225495,3.261108578,3.548857229,4.065010616
"4","mu[1]",2.610275043,0.636125625,2.019548424,2.631702151,3.229004092,4.483737266
"5","mu[2]",-0.703636875,-2.464668986,-1.274308652,-0.718413227,-0.18120709,1.152103916
"6","mu[3]",-1.160253403,-3.643196454,-1.91957492,-1.127388989,-0.346391394,1.099276654
"7","mu[4]",-3.767518073,-4.924881375,-4.40568365,-3.888670437,-3.247880805,-1.933823504
"8","mu[5]",-4.120711694,-4.96439733,-4.661727607,-4.255806885,-3.744756503,-2.421843245
