"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.17368429,1.400519618,2.512196993,3.164526068,3.801738291,5.032010625
"2","rho",2.618994506,1.16298512,2.266266012,2.650857939,3.028013682,3.79770755
"3","sigma",2.898313355,2.601512767,2.783080244,2.893068273,3.005145723,3.237990143
"4","mu[1]",-0.540962311,-4.529823741,-2.231874731,-0.680011676,0.900464617,4.589430851
"5","mu[2]",1.677537707,-3.439794602,0.07479009,1.718652947,3.29473211,6.561852859
"6","mu[3]",2.794015128,-2.577131851,1.125263206,2.845116671,4.460067839,7.957449504
"7","mu[4]",-2.952326172,-4.929733715,-4.274401749,-3.39878562,-2.08179623,1.403522167
"8","mu[5]",0.517067771,-3.907333899,-1.161630044,0.415971714,2.062340588,5.502511364
