"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.198108526,2.478452501,3.000937585,3.227850821,3.420269893,3.779238859
"2","rho",-2.587820533,-2.973713718,-2.807272078,-2.650291648,-2.45016692,-1.878850084
"3","sigma",1.035441403,0.046561808,0.465919745,0.969547357,1.510320372,2.412816602
"4","mu[1]",2.860827,1.518730092,2.409181729,2.88155516,3.324004392,4.134284575
"5","mu[2]",-1.886146995,-3.195996197,-2.331892151,-1.906381683,-1.425011186,-0.552518783
"6","mu[3]",-2.638621036,-3.968065283,-3.05164804,-2.611310472,-2.205918367,-1.426984048
"7","mu[4]",-2.523924394,-3.768199972,-2.956876619,-2.511952515,-2.086264844,-1.293877894
"8","mu[5]",-1.744740262,-2.911964761,-2.182180083,-1.742400054,-1.312842708,-0.497508462
