"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.197751215,0.437933394,1.260812828,2.161760165,3.038066763,4.487948319
"2","rho",2.401498935,0.72829547,1.963514051,2.465734563,2.91109607,3.764121108
"3","sigma",3.014631353,2.922780063,2.982424492,3.013092462,3.046053967,3.107382868
"4","mu[1]",2.991242448,-1.910937512,1.851437545,3.380287098,4.312851903,6.5532982
"5","mu[2]",-3.364425391,-4.948191943,-4.549787656,-3.884989986,-2.64318539,0.86229942
"6","mu[3]",-0.28116463,-3.551557208,-1.303433631,-0.532024745,0.66761593,3.932759613
"7","mu[4]",2.272240193,-1.533857261,1.264242739,2.147775276,3.274026496,6.524369653
"8","mu[5]",-1.390080285,-4.370018936,-2.504853592,-1.663675891,-0.473931077,2.870168436
