"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",3.074673158,0.979544639,2.338584291,3.105876123,3.810877155,5.073186634
"2","rho",2.812942927,1.735169447,2.519482855,2.836526102,3.135940233,3.733319937
"3","sigma",3.018510093,2.942935641,2.991110209,3.018334774,3.044668821,3.101256508
"4","mu[1]",-1.507096952,-4.768791366,-3.217483614,-1.846250224,-0.216781934,3.808183134
"5","mu[2]",2.097708143,-2.99677578,0.632535033,2.170054151,3.559856409,6.828642316
"6","mu[3]",-1.941688161,-4.785347292,-3.536326576,-2.290850296,-0.734986495,3.007813266
"7","mu[4]",-2.560514335,-4.902542237,-4.082892327,-3.045504466,-1.514594089,2.299447358
"8","mu[5]",3.83752995,-1.285174585,2.246073095,3.943188103,5.447016141,8.70003256
