"","param","mean","2.5%","25%","50%","75%","97.5%"
"1","alpha",2.609583016,1.020221444,1.905819421,2.545325065,3.235235097,4.579536622
"2","rho",2.113530506,1.418027888,1.918119333,2.140703005,2.336461049,2.688279541
"3","sigma",2.978909498,2.903222092,2.951847521,2.978628213,3.004835314,3.055342293
"4","mu[1]",-0.354410573,-3.870487599,-1.723096395,-0.548024375,0.795938015,4.326410565
"5","mu[2]",1.53138226,-2.487069168,0.197610443,1.3726939,2.75064986,6.021224435
"6","mu[3]",-1.474386884,-4.581758428,-2.695099714,-1.576784604,-0.428830011,2.366538232
"7","mu[4]",1.073477047,-3.352613631,-0.129337827,1.246168394,2.38021618,4.865912885
"8","mu[5]",0.363046971,-3.547986739,-0.793418458,0.387069652,1.493283993,4.187150681
