"source","parameter","value","rho_it","it","N"
"1_1_est_GP_param.csv","alpha",1.452488891,1,1,3000
"1_1_est_GP_param.csv","rho",2.195677011,1,1,3000
"1_1_est_GP_param.csv","sigma",3.631888465,1,1,3000
"1_1_est_GP_param.csv","mu[1]",-0.012773944,1,1,3000
"1_1_est_GP_param.csv","mu[2]",-1.376496673,1,1,3000
"1_1_est_GP_param.csv","mu[3]",-0.594472153,1,1,3000
"1_1_est_GP_param.csv","mu[4]",4.258122915,1,1,3000
"1_1_est_GP_param.csv","mu[5]",1.629879031,1,1,3000
"1_10_est_GP_param.csv","alpha",3.099238062,1,10,3000
"1_10_est_GP_param.csv","rho",3.492272881,1,10,3000
"1_10_est_GP_param.csv","sigma",3.516828357,1,10,3000
"1_10_est_GP_param.csv","mu[1]",-3.084874213,1,10,3000
"1_10_est_GP_param.csv","mu[2]",4.580931554,1,10,3000
"1_10_est_GP_param.csv","mu[3]",-0.367630492,1,10,3000
"1_10_est_GP_param.csv","mu[4]",-0.275001036,1,10,3000
"1_10_est_GP_param.csv","mu[5]",0.326006,1,10,3000
"1_11_est_GP_param.csv","alpha",0.820836025,1,11,3000
"1_11_est_GP_param.csv","rho",0.844663461,1,11,3000
"1_11_est_GP_param.csv","sigma",3.526271962,1,11,3000
"1_11_est_GP_param.csv","mu[1]",3.095976195,1,11,3000
"1_11_est_GP_param.csv","mu[2]",1.778134333,1,11,3000
"1_11_est_GP_param.csv","mu[3]",1.821335778,1,11,3000
"1_11_est_GP_param.csv","mu[4]",1.405572702,1,11,3000
"1_11_est_GP_param.csv","mu[5]",-0.721196762,1,11,3000
"1_12_est_GP_param.csv","alpha",0.668252905,1,12,3000
"1_12_est_GP_param.csv","rho",-0.889314399,1,12,3000
"1_12_est_GP_param.csv","sigma",3.613266424,1,12,3000
"1_12_est_GP_param.csv","mu[1]",-2.178632948,1,12,3000
"1_12_est_GP_param.csv","mu[2]",2.054896429,1,12,3000
"1_12_est_GP_param.csv","mu[3]",-2.651109397,1,12,3000
"1_12_est_GP_param.csv","mu[4]",0.22567062,1,12,3000
"1_12_est_GP_param.csv","mu[5]",3.14818761,1,12,3000
"1_13_est_GP_param.csv","alpha",0.627135989,1,13,3000
"1_13_est_GP_param.csv","rho",-1.54275817,1,13,3000
"1_13_est_GP_param.csv","sigma",3.413202698,1,13,3000
"1_13_est_GP_param.csv","mu[1]",-0.837438426,1,13,3000
"1_13_est_GP_param.csv","mu[2]",-1.296106689,1,13,3000
"1_13_est_GP_param.csv","mu[3]",-0.038723261,1,13,3000
"1_13_est_GP_param.csv","mu[4]",-3.63975865,1,13,3000
"1_13_est_GP_param.csv","mu[5]",1.615452314,1,13,3000
"1_14_est_GP_param.csv","alpha",2.434872842,1,14,3000
"1_14_est_GP_param.csv","rho",3.040822696,1,14,3000
"1_14_est_GP_param.csv","sigma",3.637734453,1,14,3000
"1_14_est_GP_param.csv","mu[1]",-2.00468597,1,14,3000
"1_14_est_GP_param.csv","mu[2]",-3.16089228,1,14,3000
"1_14_est_GP_param.csv","mu[3]",-0.715360827,1,14,3000
