"source","parameter","value","rho_it","it","N"
"1_11_sim_GP_param.csv","sigma",3,1,11,9999
"1_11_sim_GP_param.csv","mu_0",3.23917105892922,1,11,9999
"1_11_sim_GP_param.csv","mu_50",2.06212057235239,1,11,9999
"1_11_sim_GP_param.csv","mu_150",1.84119892971259,1,11,9999
"1_11_sim_GP_param.csv","mu_300",1.48217488714049,1,11,9999
"1_11_sim_GP_param.csv","mu_500",-0.959452328134313,1,11,9999
"1_12_sim_GP_param.csv","alpha",4,1,12,9999
"1_12_sim_GP_param.csv","rho",0.01,1,12,9999
"1_12_sim_GP_param.csv","sigma",3,1,12,9999
"1_12_sim_GP_param.csv","mu_0",-2.09509319214964,1,12,9999
"1_12_sim_GP_param.csv","mu_50",2.01941674863543,1,12,9999
"1_12_sim_GP_param.csv","mu_150",-2.76803503501723,1,12,9999
"1_12_sim_GP_param.csv","mu_300",0.259150532688834,1,12,9999
"1_12_sim_GP_param.csv","mu_500",3.25970288798423,1,12,9999
"1_13_sim_GP_param.csv","alpha",4,1,13,9999
"1_13_sim_GP_param.csv","rho",0.01,1,13,9999
"1_13_sim_GP_param.csv","sigma",3,1,13,9999
"1_13_sim_GP_param.csv","mu_0",-0.942874753017062,1,13,9999
"1_13_sim_GP_param.csv","mu_50",-1.32731879468244,1,13,9999
"1_13_sim_GP_param.csv","mu_150",-0.150415827691273,1,13,9999
"1_13_sim_GP_param.csv","mu_300",-3.7285422890619,1,13,9999
"1_13_sim_GP_param.csv","mu_500",1.60719285233431,1,13,9999
"1_14_sim_GP_param.csv","alpha",4,1,14,9999
"1_14_sim_GP_param.csv","rho",0.01,1,14,9999
"1_14_sim_GP_param.csv","sigma",3,1,14,9999
"1_14_sim_GP_param.csv","mu_0",-2.48201184766466,1,14,9999
"1_14_sim_GP_param.csv","mu_50",-5.49320560925971,1,14,9999
"1_14_sim_GP_param.csv","mu_150",-1.51279883557895,1,14,9999
"1_14_sim_GP_param.csv","mu_300",-1.77731602401891,1,14,9999
"1_14_sim_GP_param.csv","mu_500",0.090089524476076,1,14,9999
"1_15_sim_GP_param.csv","alpha",4,1,15,9999
"1_15_sim_GP_param.csv","rho",0.01,1,15,9999
"1_15_sim_GP_param.csv","sigma",3,1,15,9999
"1_15_sim_GP_param.csv","mu_0",-1.02129131246578,1,15,9999
"1_15_sim_GP_param.csv","mu_50",2.24299583404467,1,15,9999
"1_15_sim_GP_param.csv","mu_150",1.70346455487219,1,15,9999
"1_15_sim_GP_param.csv","mu_300",0.90391088975056,1,15,9999
"1_15_sim_GP_param.csv","mu_500",0.1532258103186,1,15,9999
"1_16_sim_GP_param.csv","alpha",4,1,16,9999
"1_16_sim_GP_param.csv","rho",0.01,1,16,9999
"1_16_sim_GP_param.csv","sigma",3,1,16,9999
"1_16_sim_GP_param.csv","mu_0",0.464429825980356,1,16,9999
"1_16_sim_GP_param.csv","mu_50",5.81561469204635,1,16,9999
"1_16_sim_GP_param.csv","mu_150",-1.70489415414186,1,16,9999
"1_16_sim_GP_param.csv","mu_300",-3.14710051242761,1,16,9999
"1_16_sim_GP_param.csv","mu_500",1.65898890839082,1,16,9999
"1_17_sim_GP_param.csv","alpha",4,1,17,9999
"1_17_sim_GP_param.csv","rho",0.01,1,17,9999
"1_17_sim_GP_param.csv","sigma",3,1,17,9999
"1_17_sim_GP_param.csv","mu_0",-4.84903524569382,1,17,9999
"1_17_sim_GP_param.csv","mu_50",-4.6171620852596,1,17,9999
"1_17_sim_GP_param.csv","mu_150",-2.35549428464962,1,17,9999
"1_17_sim_GP_param.csv","mu_300",-3.62316108039716,1,17,9999
