"N","param","mean","2.5%","25%","50%","75%","97.5%","species","it"
330,"mu[4]",-3.709297412,-4.95479175,-4.617427491,-4.152394052,-3.341484833,0.269333723,"Clupea pallasii",14
330,"mu[5]",-3.881229452,-4.976084384,-4.724166338,-4.311513834,-3.540518657,0.086873511,"Clupea pallasii",14
330,"alpha",3.100925362,1.840281148,2.450061758,2.920251603,3.625979306,5.196999798,"Clupea pallasii",15
330,"rho",0.666455739,-0.539597199,-4.4503e-05,0.389203231,1.198698618,2.512314501,"Clupea pallasii",15
330,"sigma",3.480791572,3.156792478,3.36185375,3.475470907,3.595395593,3.829062849,"Clupea pallasii",15
330,"mu[1]",-1.698616628,-4.420259634,-2.807998434,-1.887580038,-0.88493154,2.456851378,"Clupea pallasii",15
330,"mu[2]",-2.183641241,-4.805138342,-3.503044121,-2.616463235,-1.392634845,2.821978755,"Clupea pallasii",15
330,"mu[3]",-3.387371567,-4.950661938,-4.494868,-3.86424017,-2.814839306,0.95846735,"Clupea pallasii",15
330,"mu[4]",-3.482190233,-4.959152642,-4.541133683,-3.965339665,-2.937516131,0.710673545,"Clupea pallasii",15
330,"mu[5]",-3.679963098,-4.962220124,-4.670070883,-4.164635997,-3.242463517,0.526250613,"Clupea pallasii",15
330,"alpha",3.273429234,1.772024612,2.47108541,3.148901699,3.975435182,5.322604132,"Clupea pallasii",16
330,"rho",1.280930547,-0.63072852,0.170446228,1.637551269,2.300845823,2.857691276,"Clupea pallasii",16
330,"sigma",3.643572658,3.296255285,3.527105092,3.646091841,3.760630015,3.976727841,"Clupea pallasii",16
330,"mu[1]",-1.452509163,-4.71519905,-2.772182654,-1.685913656,-0.423514547,3.309082307,"Clupea pallasii",16
330,"mu[2]",-1.899167584,-4.803552536,-3.342535828,-2.361734974,-0.872286968,3.303508749,"Clupea pallasii",16
330,"mu[3]",-2.729711738,-4.919222337,-4.254544631,-3.347481013,-1.669745445,2.556328366,"Clupea pallasii",16
330,"mu[4]",-3.065810536,-4.935688314,-4.455032708,-3.692625653,-2.277824259,2.19693726,"Clupea pallasii",16
330,"mu[5]",-3.210448399,-4.945969226,-4.512207422,-3.84279509,-2.450585405,1.707213377,"Clupea pallasii",16
330,"alpha",2.777455252,1.787060803,2.323579068,2.674368972,3.114846843,4.38862447,"Clupea pallasii",17
330,"rho",0.15994872,-0.734747155,-0.149207971,0.131594893,0.397697189,1.638396666,"Clupea pallasii",17
330,"sigma",3.537005566,3.229306675,3.428842346,3.532954108,3.640032902,3.867790698,"Clupea pallasii",17
330,"mu[1]",-1.786982058,-4.228156154,-2.651929793,-1.884975622,-1.026450073,1.162193617,"Clupea pallasii",17
330,"mu[2]",-2.859813221,-4.774226275,-3.738285836,-3.016366929,-2.19259956,0.03684923,"Clupea pallasii",17
330,"mu[3]",-3.757340613,-4.938157234,-4.547050497,-4.009359082,-3.298740351,-1.09201858,"Clupea pallasii",17
330,"mu[4]",-3.953680877,-4.9607503,-4.634367643,-4.213227014,-3.569980469,-1.548776131,"Clupea pallasii",17
330,"mu[5]",-4.094969711,-4.970590147,-4.708966408,-4.367648565,-3.78388284,-1.628064628,"Clupea pallasii",17
330,"alpha",2.862254205,1.85539078,2.346519788,2.703509681,3.204377957,4.768064647,"Clupea pallasii",18
330,"rho",0.310368347,-0.737799073,-0.159056801,0.099083006,0.407904165,2.554607292,"Clupea pallasii",18
330,"sigma",3.502147555,3.179152613,3.3784233,3.49372931,3.612339648,3.858988118,"Clupea pallasii",18
330,"mu[1]",-1.879351614,-4.362069796,-2.852099794,-2.026113552,-1.088048888,1.557094982,"Clupea pallasii",18
330,"mu[2]",-2.412696614,-4.720348146,-3.415618245,-2.644946755,-1.7545092,1.719387223,"Clupea pallasii",18
330,"mu[3]",-3.569403214,-4.940718002,-4.456523259,-3.917066123,-3.124704122,0.093096178,"Clupea pallasii",18
330,"mu[4]",-3.825257018,-4.971893391,-4.640042179,-4.207435196,-3.521371776,0.11590104,"Clupea pallasii",18
330,"mu[5]",-3.97580191,-4.969007852,-4.711521674,-4.339403142,-3.658891216,-0.633543752,"Clupea pallasii",18
330,"alpha",2.654632316,1.713331647,2.197212004,2.494900617,2.919228756,4.680941625,"Clupea pallasii",19
330,"rho",0.036087402,-1.12491617,-0.613821094,-0.261625715,0.206213023,2.611646404,"Clupea pallasii",19
330,"sigma",3.564730542,3.202810341,3.431554242,3.559889586,3.688159326,3.968637296,"Clupea pallasii",19
330,"mu[1]",-1.842916575,-4.168727836,-2.624780837,-1.936331863,-1.216136936,1.285530742,"Clupea pallasii",19
330,"mu[2]",-2.771853124,-4.722769633,-3.679346821,-3.010944815,-2.242027113,1.220496288,"Clupea pallasii",19
330,"mu[3]",-3.749571493,-4.966885827,-4.576335682,-4.124633753,-3.421034486,0.156897975,"Clupea pallasii",19
330,"mu[4]",-3.942967402,-4.961378995,-4.681451378,-4.298595373,-3.659177668,-0.464499719,"Clupea pallasii",19
330,"mu[5]",-4.133368743,-4.979684037,-4.77698603,-4.492893054,-3.985268978,-0.631502002,"Clupea pallasii",19
330,"alpha",2.717430484,1.939066478,2.38124626,2.643548757,2.946376414,3.972026393,"Clupea pallasii",2
330,"rho",-0.314653858,-1.00729026,-0.661531237,-0.376119721,-0.047267063,0.651740916,"Clupea pallasii",2
330,"sigma",3.338309394,3.015819863,3.21947275,3.334250649,3.449793454,3.693257871,"Clupea pallasii",2
330,"mu[1]",-1.853111214,-3.916925658,-2.560275286,-1.891577231,-1.196706278,0.444839569,"Clupea pallasii",2
330,"mu[2]",-3.029222882,-4.804171441,-3.716894703,-3.128588626,-2.454633225,-0.716076755,"Clupea pallasii",2
330,"mu[3]",-4.041690592,-4.962999369,-4.627624352,-4.221439454,-3.663891545,-2.011139061,"Clupea pallasii",2
330,"mu[4]",-4.229989093,-4.97966342,-4.763842436,-4.434963102,-3.950114827,-2.344150984,"Clupea pallasii",2
330,"mu[5]",-4.314952852,-4.976915533,-4.79268725,-4.503759706,-4.085764987,-2.436543518,"Clupea pallasii",2
330,"alpha",2.773034754,1.817359455,2.311884513,2.663700492,3.118253132,4.400843941,"Clupea pallasii",20
330,"rho",0.100533455,-0.787738321,-0.228707318,0.036635226,0.307586892,2.091607599,"Clupea pallasii",20
330,"sigma",3.548186124,3.232294397,3.437161997,3.543742881,3.653811651,3.885096562,"Clupea pallasii",20
330,"mu[1]",-1.444776293,-4.049310811,-2.311339066,-1.518572226,-0.689079015,1.589892516,"Clupea pallasii",20
330,"mu[2]",-2.762981548,-4.751868703,-3.644116945,-2.919771731,-2.115475514,0.275244792,"Clupea pallasii",20
330,"mu[3]",-3.738618924,-4.952471287,-4.514194725,-3.997337205,-3.307033755,-0.893662233,"Clupea pallasii",20
330,"mu[4]",-4.010369688,-4.972033335,-4.653793255,-4.269737556,-3.630112282,-1.585902252,"Clupea pallasii",20
330,"mu[5]",-4.112730928,-4.977924586,-4.7283987,-4.365554454,-3.818908846,-1.634042217,"Clupea pallasii",20
330,"alpha",2.861370133,1.752686171,2.311377636,2.704530376,3.255985608,4.767599283,"Clupea pallasii",3
330,"rho",0.260327824,-0.963582874,-0.17914874,0.153069007,0.534316889,2.376377838,"Clupea pallasii",3
330,"sigma",3.608182722,3.277847497,3.487570794,3.599999105,3.7227733,3.967014003,"Clupea pallasii",3
330,"mu[1]",-1.468952892,-4.139463357,-2.466033875,-1.585689066,-0.667874316,2.064020228,"Clupea pallasii",3
330,"mu[2]",-2.682368839,-4.725824591,-3.622580431,-2.908410137,-2.079866389,0.965780949,"Clupea pallasii",3
330,"mu[3]",-3.578567474,-4.944641981,-4.453257349,-3.884416599,-3.08383929,-0.155007553,"Clupea pallasii",3
330,"mu[4]",-3.757107016,-4.965730874,-4.610919059,-4.107482453,-3.327396347,-0.47735309,"Clupea pallasii",3
330,"mu[5]",-3.998540523,-4.967857813,-4.707722916,-4.325703826,-3.676473189,-1.1577697,"Clupea pallasii",3
330,"alpha",3.10421084,1.741183679,2.423439426,2.939991116,3.668395301,5.141231726,"Clupea pallasii",4
330,"rho",0.751267527,-0.662494628,0.103819251,0.519837711,1.207803929,2.648065778,"Clupea pallasii",4
330,"sigma",3.655389246,3.341303271,3.539324287,3.653962761,3.769599395,3.993379198,"Clupea pallasii",4
330,"mu[1]",-1.572834739,-4.437933016,-2.756002446,-1.764863057,-0.636688211,2.564547213,"Clupea pallasii",4
330,"mu[2]",-2.226081554,-4.791417428,-3.591090481,-2.66154744,-1.348624724,2.764952585,"Clupea pallasii",4
330,"mu[3]",-3.120821094,-4.92976061,-4.345366431,-3.593635749,-2.386184477,1.264981107,"Clupea pallasii",4
330,"mu[4]",-3.403571244,-4.956131198,-4.508586627,-3.881368774,-2.811314229,0.828458355,"Clupea pallasii",4
330,"mu[5]",-3.639488233,-4.971269344,-4.647075191,-4.13568653,-3.160160011,0.499353641,"Clupea pallasii",4
330,"alpha",2.783565262,1.831559989,2.339472708,2.68369492,3.116120211,4.27765256,"Clupea pallasii",5
330,"rho",0.043300024,-0.808374133,-0.210599545,0.040501581,0.274496018,0.854363978,"Clupea pallasii",5
330,"sigma",3.458633968,3.160585629,3.353354668,3.456047277,3.559471256,3.77973123,"Clupea pallasii",5
330,"mu[1]",-1.707313236,-4.063863102,-2.543322349,-1.739086091,-0.95723229,0.948386439,"Clupea pallasii",5
330,"mu[2]",-2.815090079,-4.738113296,-3.642062988,-2.937576426,-2.148072342,-0.006572604,"Clupea pallasii",5
330,"mu[3]",-3.903280111,-4.958893772,-4.583312119,-4.129976104,-3.482187663,-1.608386783,"Clupea pallasii",5
330,"mu[4]",-4.040564475,-4.959165187,-4.677000963,-4.278530225,-3.671111206,-1.818234554,"Clupea pallasii",5
330,"mu[5]",-4.183063897,-4.982118201,-4.760174796,-4.429740645,-3.867647904,-2.038336617,"Clupea pallasii",5
330,"alpha",2.859126223,1.810879225,2.332294588,2.659942529,3.199545622,4.859686564,"Clupea pallasii",6
330,"rho",0.180862676,-1.11474737,-0.503395423,-0.03816533,0.494568351,2.59223003,"Clupea pallasii",6
330,"sigma",3.518449818,3.137179969,3.381881661,3.514332415,3.653550902,3.924552164,"Clupea pallasii",6
330,"mu[1]",-1.610389581,-4.506057538,-2.461187165,-1.701466727,-0.943716791,2.026576409,"Clupea pallasii",6
330,"mu[2]",-2.737620565,-4.844123943,-3.762050922,-3.042787405,-2.181670899,1.823472277,"Clupea pallasii",6
330,"mu[3]",-3.654036057,-4.971992353,-4.605866861,-4.08555284,-3.253220069,0.549364773,"Clupea pallasii",6
330,"mu[4]",-3.893817938,-4.968657421,-4.705842797,-4.307188268,-3.600203642,-0.12434719,"Clupea pallasii",6
330,"mu[5]",-4.038890428,-4.980440642,-4.760601839,-4.428573201,-3.826436936,-0.597410619,"Clupea pallasii",6
330,"alpha",2.794483815,1.750686526,2.244166691,2.622545762,3.19117698,4.735837595,"Clupea pallasii",7
330,"rho",0.35365502,-0.699664421,-0.169168542,0.103624386,0.45293791,2.589266439,"Clupea pallasii",7
330,"sigma",3.550278232,3.232510395,3.426461865,3.544416511,3.663723591,3.915986668,"Clupea pallasii",7
330,"mu[1]",-1.816326519,-4.382769509,-2.768825343,-1.955055498,-1.084379952,1.980488799,"Clupea pallasii",7
330,"mu[2]",-2.533451332,-4.664234993,-3.533181392,-2.811257765,-1.911880978,1.465304891,"Clupea pallasii",7
330,"mu[3]",-3.52779105,-4.935152214,-4.510345766,-3.924063522,-3.092108968,0.425558076,"Clupea pallasii",7
330,"mu[4]",-3.842575989,-4.97284947,-4.652427486,-4.215918613,-3.50925851,-0.333331953,"Clupea pallasii",7
